Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,262.179993,265.149994,260.250000,262.910004,262.208466,1525300
2019-05-21,265.980011,268.000000,265.109985,265.359985,264.651917,1420800
2019-05-22,267.630005,273.269989,266.200012,271.660004,270.935089,1740200
2019-05-23,268.940002,271.339996,265.369995,271.019989,270.296783,1567500
2019-05-24,272.410004,276.660004,271.640015,271.799988,271.074707,991500
2019-05-28,273.820007,274.829987,266.019989,266.380005,265.669189,1676800
2019-05-29,262.839996,265.869995,262.109985,264.760010,264.053558,1232700
2019-05-30,265.720001,268.440002,264.839996,267.980011,267.264893,771400
2019-05-31,265.540009,269.290009,265.010010,266.980011,266.267609,1266700
2019-06-03,268.290009,271.440002,264.720001,265.279999,264.572144,1659900
2019-06-04,267.850006,268.480011,264.299988,267.970001,267.254974,1575800
2019-06-05,271.809998,275.739990,270.000000,274.790009,274.056763,2198200
2019-06-06,275.769989,278.160004,274.619995,276.260010,275.522797,1940600
2019-06-07,278.920013,282.510010,277.529999,281.690002,280.938354,1334500
2019-06-10,282.869995,284.769989,282.540009,283.760010,283.002838,997600
2019-06-11,286.579987,288.070007,282.429993,285.049988,284.289368,1214800
2019-06-12,284.850006,285.790009,282.720001,285.220001,284.458893,882100
2019-06-13,284.850006,286.390015,283.549988,286.239990,285.666504,1301500
2019-06-14,286.450012,287.070007,284.359985,285.260010,284.688477,1381100
2019-06-17,285.869995,287.140015,284.799988,285.929993,285.357117,681600
2019-06-18,287.940002,290.000000,286.010010,289.200012,288.620575,1360500
2019-06-19,288.660004,293.329987,287.429993,292.779999,292.193420,1534700
2019-06-20,296.489990,297.410004,290.420013,293.339996,292.752289,1590300
2019-06-21,293.390015,295.429993,290.359985,294.459991,293.869995,1701600
2019-06-24,295.200012,296.029999,292.000000,295.549988,294.957855,942100
2019-06-25,295.480011,298.380005,293.100006,293.529999,292.941895,1191600
2019-06-26,293.350006,294.070007,289.890015,292.230011,291.644501,1172300
2019-06-27,292.760010,294.380005,290.790009,293.769989,293.181396,850100
2019-06-28,292.559998,294.130005,288.690002,293.679993,293.091583,5248000
2019-07-01,299.130005,299.769989,295.010010,299.410004,298.810120,1651500
2019-07-02,299.179993,301.190002,295.519989,301.109985,300.506714,946400
2019-07-03,302.760010,305.450012,301.510010,305.429993,304.818024,883000
2019-07-05,302.500000,303.799988,298.700012,300.649994,300.047607,1046800
2019-07-08,299.299988,299.570007,294.869995,297.809998,297.213318,1223200
2019-07-09,296.230011,297.589996,295.769989,296.899994,296.305115,886500
2019-07-10,298.540009,299.170013,296.179993,296.519989,295.925873,842900
2019-07-11,298.140015,298.880005,294.510010,295.549988,294.957855,804700
2019-07-12,290.950012,291.489990,288.299988,290.940002,290.357056,1640600
2019-07-15,290.809998,291.549988,288.239990,288.829987,288.251282,1629000
2019-07-16,285.559998,287.989990,285.049988,286.209991,285.636536,1959800
2019-07-17,286.579987,288.390015,284.540009,287.000000,286.424957,1671500
2019-07-18,287.010010,293.899994,287.010010,293.730011,293.141510,1543000
2019-07-19,295.529999,295.600006,289.679993,289.820007,289.239319,1593100
2019-07-22,291.000000,294.529999,289.989990,291.730011,291.145508,1106100
2019-07-23,292.410004,294.390015,290.989990,293.619995,293.031708,1025100
2019-07-24,289.010010,289.040009,278.519989,288.359985,287.782227,2538300
2019-07-25,289.299988,291.839996,288.130005,290.589996,290.007751,1214300
2019-07-26,292.149994,292.149994,286.500000,287.209991,286.634552,1274000
2019-07-29,288.500000,289.190002,285.750000,288.920013,288.341156,1060000
2019-07-30,285.950012,286.540009,283.429993,283.910004,283.341187,1343300
2019-07-31,284.000000,284.480011,275.579987,277.679993,277.123627,1903700
2019-08-01,279.450012,284.239990,275.769989,277.809998,277.253357,1552000
2019-08-02,277.829987,277.829987,271.000000,274.820007,274.269379,2096300
2019-08-05,268.630005,271.750000,266.489990,268.459991,267.922119,2569400
2019-08-06,271.399994,277.320007,270.010010,275.959991,275.407074,2287500
2019-08-07,272.359985,276.359985,269.160004,274.790009,274.239441,1664300
2019-08-08,277.440002,281.000000,277.049988,280.500000,279.937988,1348200
2019-08-09,278.779999,280.959991,275.649994,276.369995,275.816254,921900
2019-08-12,274.730011,276.290009,270.980011,272.000000,271.455017,1159500
2019-08-13,272.070007,278.059998,270.269989,275.170013,274.618683,1905600
2019-08-14,272.640015,275.299988,269.369995,269.480011,268.940063,1856200
2019-08-15,274.660004,275.989990,270.760010,273.309998,272.762390,1603700
2019-08-16,276.589996,277.350006,274.250000,276.149994,275.596710,1035100
2019-08-19,278.600006,280.200012,276.019989,279.519989,278.959961,1089100
2019-08-20,278.000000,279.410004,276.000000,276.190002,275.636627,1031000
2019-08-21,278.269989,279.709991,277.000000,278.269989,277.712463,749600
2019-08-22,279.429993,280.910004,276.170013,278.170013,277.612671,845700
2019-08-23,278.100006,280.220001,267.459991,269.359985,268.820282,1758500
2019-08-26,270.519989,272.359985,268.890015,270.920013,270.377197,1052000
2019-08-27,272.890015,274.070007,271.579987,272.929993,272.383148,1002600
2019-08-28,272.019989,278.029999,271.000000,276.059998,275.506897,1316600
2019-08-29,279.190002,286.739990,278.820007,285.769989,285.197418,1858500
2019-08-30,288.619995,290.179993,284.619995,287.059998,286.484863,2165900
2019-09-03,284.429993,286.250000,281.250000,283.529999,282.961914,1590000
2019-09-04,285.070007,289.250000,283.480011,285.899994,285.327148,1288300
2019-09-05,288.399994,294.709991,286.470001,294.019989,293.430878,1470500
2019-09-06,295.850006,296.920013,293.510010,295.049988,294.458801,2337300
2019-09-09,296.209991,296.679993,291.079987,292.019989,291.434875,1568400
2019-09-10,290.010010,291.149994,285.029999,289.500000,288.919952,2428400
2019-09-11,289.519989,295.089996,286.250000,294.940002,294.349060,1293700
2019-09-12,296.000000,297.739990,294.399994,294.970001,294.378998,1108200
2019-09-13,294.089996,298.040009,293.760010,297.649994,297.053619,1083000
2019-09-16,295.410004,296.940002,293.670013,295.329987,294.926514,1062900
2019-09-17,294.760010,295.920013,291.390015,292.709991,292.310120,1514500
2019-09-18,292.700012,295.130005,291.019989,294.959991,294.557037,1221700
2019-09-19,293.959991,296.760010,293.899994,295.250000,294.846649,1003800
2019-09-20,297.290009,299.079987,295.559998,296.329987,295.925171,1775000
2019-09-23,292.549988,295.609985,290.130005,290.450012,290.053223,1032300
2019-09-24,292.500000,293.679993,284.380005,285.160004,284.770447,1465200
2019-09-25,286.140015,287.339996,281.049988,282.329987,281.944305,1952000
2019-09-26,283.859985,288.109985,281.640015,286.850006,286.458130,1693700
2019-09-27,288.350006,290.170013,285.209991,287.399994,287.007355,1144000
2019-09-30,286.910004,293.489990,286.790009,291.269989,290.872070,1519400
2019-10-01,291.779999,293.630005,287.109985,287.399994,287.007355,1822000
2019-10-02,285.010010,286.730011,277.010010,279.529999,279.148132,1964800
2019-10-03,278.149994,283.970001,274.299988,282.910004,282.523499,1848800
2019-10-04,282.850006,292.440002,282.769989,292.299988,291.900665,1742000
2019-10-07,290.489990,294.040009,289.059998,289.160004,288.764984,1915300
2019-10-08,282.109985,284.809998,270.329987,271.929993,271.558502,3933200
2019-10-09,278.700012,278.809998,275.179993,276.510010,276.132263,1733800
2019-10-10,276.290009,282.559998,276.269989,280.660004,280.276581,1129400
2019-10-11,285.660004,287.920013,283.339996,283.640015,283.252502,1283600
2019-10-14,284.089996,286.720001,283.489990,284.250000,283.861664,749100
2019-10-15,286.070007,287.970001,285.220001,286.019989,285.629242,1183200
2019-10-16,283.959991,285.000000,279.320007,280.559998,280.176697,2103500
2019-10-17,282.000000,284.459991,281.059998,281.589996,281.205292,1028100
2019-10-18,281.049988,283.940002,280.390015,281.420013,281.035553,1186400
2019-10-21,284.559998,284.559998,281.559998,283.540009,283.152649,1053200
2019-10-22,283.359985,287.190002,280.700012,280.989990,280.606140,1047100
2019-10-23,298.559998,300.000000,290.040009,296.929993,296.524353,2094500
2019-10-24,295.320007,296.290009,290.649994,293.440002,293.039124,1230900
2019-10-25,291.980011,298.200012,290.579987,296.679993,296.274689,1061300
2019-10-28,296.589996,302.329987,296.589996,299.899994,299.490265,1399600
2019-10-29,297.000000,300.660004,296.670013,297.950012,297.542969,1225900
2019-10-30,298.269989,302.440002,295.660004,301.859985,301.447601,1395400
2019-10-31,301.859985,303.600006,300.290009,301.980011,301.567474,1505900
2019-11-01,305.000000,305.279999,303.119995,303.600006,303.185242,990500
2019-11-04,305.640015,306.000000,300.619995,300.769989,300.359070,1052000
2019-11-05,299.899994,299.899994,291.950012,292.630005,292.230225,1876700
2019-11-06,293.269989,295.220001,290.640015,294.570007,294.167572,1017000
2019-11-07,295.899994,295.940002,291.769989,293.540009,293.139008,1210200
2019-11-08,295.630005,296.000000,292.529999,294.649994,294.247437,788800
2019-11-11,292.640015,296.309998,292.239990,293.529999,293.128998,773100
2019-11-12,294.519989,298.730011,294.309998,295.970001,295.565674,791000
2019-11-13,294.809998,301.130005,294.500000,300.019989,299.610107,1286600
2019-11-14,300.149994,301.179993,295.799988,300.839996,300.429016,860800
2019-11-15,302.929993,306.950012,302.500000,306.809998,306.390839,1626900
2019-11-18,306.000000,306.529999,299.890015,300.989990,300.578796,1233600
2019-11-19,302.230011,307.019989,301.579987,306.420013,306.001404,1767500
2019-11-20,307.019989,310.670013,304.649994,307.329987,306.910126,2329700
2019-11-21,306.549988,306.940002,302.480011,305.309998,304.892883,1058600
2019-11-22,306.109985,308.119995,303.920013,307.769989,307.349518,841900
2019-11-25,308.959991,310.739990,307.630005,310.600006,310.175659,1257600
2019-11-26,310.010010,313.910004,309.549988,313.450012,313.021790,1709600
2019-11-27,313.660004,316.029999,312.269989,315.420013,314.989105,864000
2019-11-29,314.820007,315.859985,313.040009,313.950012,313.521088,667100
2019-12-02,315.660004,315.850006,309.209991,313.040009,312.612335,955500
2019-12-03,309.149994,313.130005,308.709991,312.890015,312.462555,922700
2019-12-04,312.179993,316.089996,311.890015,315.640015,315.208801,985700
2019-12-05,315.859985,316.739990,311.739990,316.000000,315.568268,844300
2019-12-06,318.640015,321.600006,317.920013,320.119995,319.682648,1199400
2019-12-09,319.410004,320.739990,315.809998,316.429993,315.997711,889900
2019-12-10,317.230011,318.079987,315.170013,317.089996,316.656799,1301500
2019-12-11,316.850006,319.040009,316.070007,318.079987,317.645447,1355600
2019-12-12,318.679993,322.170013,318.130005,319.359985,318.923676,1187200
2019-12-13,319.269989,321.420013,317.489990,320.500000,320.062134,735200
2019-12-16,322.660004,324.179993,320.779999,321.459991,321.211243,915700
2019-12-17,322.690002,322.799988,319.709991,319.790009,319.542572,1375900
2019-12-18,319.309998,321.230011,316.670013,319.600006,319.352692,2424400
2019-12-19,319.670013,324.130005,319.119995,323.250000,322.999878,1546600
2019-12-20,328.410004,330.140015,324.059998,326.720001,326.467194,2275300
2019-12-23,326.910004,328.750000,325.600006,328.040009,327.786163,1319000
2019-12-24,328.279999,329.040009,326.390015,326.510010,326.257355,489200
2019-12-26,326.549988,326.790009,323.730011,325.709991,325.457947,680700
2019-12-27,327.140015,327.649994,325.140015,326.549988,326.297302,628800
2019-12-30,326.570007,327.410004,323.480011,325.040009,324.788483,606600
2019-12-31,324.859985,325.239990,322.940002,324.869995,324.618622,875800
2020-01-02,326.000000,326.940002,322.570007,326.369995,326.117462,1173300
2020-01-03,321.480011,325.290009,321.329987,322.820007,322.570221,819600
2020-01-06,319.839996,325.329987,318.649994,325.140015,324.888428,1010000
2020-01-07,325.429993,329.239990,324.980011,326.980011,326.726990,917700
2020-01-08,326.179993,330.589996,325.220001,327.500000,327.246582,939100
2020-01-09,329.380005,330.859985,327.269989,329.609985,329.354950,901900
2020-01-10,331.380005,331.980011,327.700012,328.730011,328.475647,801400
2020-01-13,328.890015,332.089996,326.709991,332.019989,331.763062,1379100
2020-01-14,330.470001,335.089996,328.040009,332.799988,332.542480,1069800
2020-01-15,333.000000,336.890015,333.000000,335.200012,334.940643,1350600
2020-01-16,337.200012,338.209991,334.850006,336.739990,336.479431,842000
2020-01-17,337.369995,339.339996,335.269989,339.190002,338.927551,1100300
2020-01-21,339.600006,341.709991,336.779999,337.260010,336.999054,1340700
2020-01-22,337.779999,342.260010,337.529999,340.049988,339.786865,922500
2020-01-23,339.519989,339.890015,332.869995,335.380005,335.120483,1213800
2020-01-24,337.119995,337.709991,331.519989,333.679993,333.421783,945800
2020-01-27,327.359985,332.619995,326.709991,330.959991,330.703888,1236100
2020-01-28,332.230011,334.440002,329.220001,333.260010,333.002136,1667000
2020-01-29,335.630005,337.640015,333.390015,333.890015,333.631653,1434400
2020-01-30,322.000000,325.000000,317.000000,319.859985,319.612488,3670000
2020-01-31,322.230011,322.980011,310.920013,313.190002,312.947662,2623700
2020-02-03,316.809998,321.559998,315.109985,318.339996,318.093658,2693900
2020-02-04,321.839996,328.640015,321.010010,325.959991,325.707764,2019700
2020-02-05,330.260010,333.649994,329.140015,332.489990,332.232727,1786600
2020-02-06,333.250000,334.450012,331.459991,332.000000,331.743103,1636200
2020-02-07,330.000000,330.440002,324.829987,326.209991,325.957581,1577300
2020-02-10,324.570007,334.739990,324.570007,333.940002,333.681610,1781600
2020-02-11,336.559998,338.170013,335.010010,337.779999,337.518616,1808400
2020-02-12,338.970001,340.950012,333.859985,334.570007,334.311127,1948400
2020-02-13,333.500000,337.410004,331.500000,335.589996,335.330322,1560100
2020-02-14,336.559998,339.399994,335.049988,339.190002,338.927551,1467700
2020-02-18,338.130005,338.350006,334.510010,337.369995,337.108948,1462400
2020-02-19,338.089996,340.290009,335.309998,339.739990,339.477112,1189400
2020-02-20,340.000000,341.350006,333.200012,336.059998,335.799957,1505700
2020-02-21,333.910004,335.600006,333.100006,334.940002,334.680817,1540100
2020-02-24,324.260010,326.170013,320.519989,323.149994,322.899933,2638300
2020-02-25,324.779999,326.989990,307.369995,309.630005,309.390411,2378300
2020-02-26,308.739990,318.640015,308.309998,309.160004,308.920776,1944800
2020-02-27,304.000000,311.709991,297.010010,297.079987,296.850098,2231900
2020-02-28,288.609985,295.799988,284.829987,290.799988,290.574982,3961600
2020-03-02,291.029999,304.959991,288.859985,304.959991,304.724030,2741000
2020-03-03,315.630005,324.989990,307.450012,310.359985,310.119843,3895900
2020-03-04,318.540009,327.890015,314.829987,326.640015,326.387268,3043500
2020-03-05,318.670013,323.690002,310.100006,312.890015,312.647919,2192400
2020-03-06,305.059998,312.720001,302.730011,311.170013,310.929230,1922800
2020-03-09,293.880005,298.429993,288.029999,295.350006,295.121460,2520100
2020-03-10,305.760010,307.970001,293.079987,307.700012,307.461914,2707500
2020-03-11,299.410004,300.230011,285.260010,289.380005,289.156097,2566400
2020-03-12,274.269989,295.779999,268.549988,284.320007,284.100006,4519200
2020-03-13,297.649994,301.149994,272.209991,300.119995,300.119995,4534400
2020-03-16,271.529999,293.489990,265.239990,279.350006,279.350006,3766500
2020-03-17,297.980011,314.160004,286.579987,296.309998,296.309998,5253500
2020-03-18,284.359985,303.000000,280.260010,302.980011,302.980011,4570700
2020-03-19,298.019989,299.980011,277.730011,280.839996,280.839996,3511100
2020-03-20,277.459991,285.450012,268.149994,278.369995,278.369995,3715600
2020-03-23,272.239990,275.000000,250.210007,255.300003,255.300003,3477200
2020-03-24,263.549988,284.000000,261.299988,282.029999,282.029999,2691600
2020-03-25,278.010010,285.750000,270.130005,271.679993,271.679993,3075700
2020-03-26,274.760010,285.109985,270.299988,283.149994,283.149994,2856100
2020-03-27,273.630005,283.170013,272.100006,274.339996,274.339996,2314600
2020-03-30,278.290009,286.179993,276.440002,284.959991,284.959991,1990000
2020-03-31,283.809998,286.329987,280.309998,283.600006,283.600006,3275100
2020-04-01,276.510010,282.989990,270.399994,275.200012,275.200012,1927400
2020-04-02,272.040009,287.989990,272.029999,287.549988,287.549988,1666600
2020-04-03,282.950012,287.500000,278.790009,282.209991,282.209991,1320400
2020-04-06,294.609985,306.730011,292.160004,304.000000,304.000000,2437800
2020-04-07,312.140015,317.540009,296.070007,296.579987,296.579987,2126500
2020-04-08,297.649994,309.079987,290.519989,307.149994,307.149994,1997900
2020-04-09,307.549988,318.200012,305.049988,317.380005,317.380005,2445300
2020-04-13,314.380005,316.880005,309.179993,315.320007,315.320007,1547900
2020-04-14,321.549988,327.410004,319.829987,326.369995,326.369995,1513100
2020-04-15,322.619995,327.149994,320.720001,325.829987,325.829987,1652300
2020-04-16,328.500000,330.739990,324.190002,328.839996,328.839996,1830000
2020-04-17,334.220001,334.320007,327.109985,331.579987,331.579987,2057200
2020-04-20,329.320007,331.750000,325.549988,327.160004,327.160004,1717900
2020-04-21,324.809998,324.809998,316.359985,319.619995,319.619995,2183500
2020-04-22,323.549988,337.540009,321.429993,335.589996,335.589996,2322400
2020-04-23,335.399994,337.309998,319.869995,320.510010,320.510010,2668100
2020-04-24,322.609985,329.950012,320.239990,328.700012,328.700012,1987900
2020-04-27,330.489990,343.440002,330.070007,342.709991,342.709991,1878500
2020-04-28,342.709991,346.890015,328.100006,332.459991,332.459991,2361400
2020-04-29,333.470001,337.380005,328.679993,335.619995,335.619995,1936600
2020-04-30,331.769989,337.799988,331.399994,334.679993,334.679993,2215000
2020-05-01,330.380005,334.440002,326.549988,329.809998,329.809998,1603100
2020-05-04,329.160004,330.899994,325.329987,326.720001,326.720001,1189000
2020-05-05,331.940002,339.980011,328.940002,336.320007,336.320007,1139900
2020-05-06,337.529999,338.989990,335.089996,335.149994,335.149994,1215600
2020-05-07,339.299988,342.320007,335.260010,339.079987,339.079987,1795100
2020-05-08,343.859985,343.859985,330.359985,333.010010,333.010010,1616000
2020-05-11,331.339996,341.350006,331.100006,340.390015,340.390015,1313900
2020-05-12,340.380005,341.609985,331.720001,331.720001,331.720001,1510000
2020-05-13,335.179993,340.200012,330.820007,334.089996,334.089996,1791200
2020-05-14,330.579987,337.799988,328.380005,337.290009,337.290009,1147600
2020-05-15,337.500000,343.200012,335.369995,342.920013,342.920013,1614500
2020-05-18,337.500000,351.859985,347.000000,349.000000,349.000000,1053147
